"","x"
"635","No schooling"
"636","No schooling"
"637","Preschool/ Primary"
"638","No schooling"
"639","No schooling"
"640","Preschool/ Primary"
"641","No schooling"
"642","Preschool/ Primary"
"643","No schooling"
"644","No schooling"
"645","Preschool/ Primary"
"646","No schooling"
"647","No schooling"
"648","Graduation"
"649","No schooling"
"650","No schooling"
"651","Preschool/ Primary"
"652","No schooling"
"653","No schooling"
"654","Preschool/ Primary"
"655","No schooling"
"656","Preschool/ Primary"
"657","Preschool/ Primary"
"658","No schooling"
"659","No schooling"
"660","Preschool/ Primary"
"661","No schooling"
"662","Middle"
"663","No schooling"
"664","No schooling"
"665","No schooling"
"666","Middle"
"667","Graduation"
"668","Preschool/ Primary"
"669","No schooling"
"670","Middle"
"671","Matric"
"672","No schooling"
"673","Matric"
"674","Preschool/ Primary"
"675","Preschool/ Primary"
"676","Preschool/ Primary"
"677","Graduation"
"678","Graduation"
"679","Masters or above"
"680","Middle"
"681","Preschool/ Primary"
"682","Intermediate"
"683","No schooling"
"684","Preschool/ Primary"
"685","Preschool/ Primary"
"686","Masters or above"
"687","Preschool/ Primary"
"688","Preschool/ Primary"
"689","No schooling"
"690","Preschool/ Primary"
"691","No schooling"
"692","Preschool/ Primary"
"693","Preschool/ Primary"
"694","No schooling"
"695","No schooling"
"696","No schooling"
"697","Matric"
"698","No schooling"
"699","No schooling"
"700","No schooling"
"701","Matric"
"702","No schooling"
"703","No schooling"
"704","No schooling"
"705","No schooling"
"706","Preschool/ Primary"
"707","No schooling"
"708","No schooling"
"709","No schooling"
"710","No schooling"
"711","No schooling"
"712","No schooling"
"713","No schooling"
"714","No schooling"
"715","Preschool/ Primary"
"716","No schooling"
"717","No schooling"
"718","No schooling"
"719","No schooling"
"720","No schooling"
"721","No schooling"
"722","Middle"
"723","No schooling"
"724","No schooling"
"725","No schooling"
"726","Preschool/ Primary"
"727","Preschool/ Primary"
"728","Preschool/ Primary"
"729","No schooling"
"730","Matric"
"731","Preschool/ Primary"
"732","Middle"
"733","Preschool/ Primary"
"734","No schooling"
"735","Matric"
"736","Intermediate"
"737","Preschool/ Primary"
"738","Middle"
"739","No schooling"
"740","No schooling"
"741","No schooling"
"742","Middle"
"743","Middle"
"744","Preschool/ Primary"
"745","No schooling"
"746","Matric"
"747","Middle"
"748","No schooling"
"749","Preschool/ Primary"
"750","Preschool/ Primary"
"751","No schooling"
"752","No schooling"
"753","No schooling"
"754","Preschool/ Primary"
"755","No schooling"
"756","Middle"
"757","No schooling"
"758","No schooling"
"759","No schooling"
"760","No schooling"
"761","No schooling"
"762","No schooling"
"763","No schooling"
"764","Preschool/ Primary"
"765","No schooling"
"766","No schooling"
"767","No schooling"
"768","No schooling"
"769","No schooling"
"770","No schooling"
"771","No schooling"
"772","No schooling"
"773","No schooling"
"774","No schooling"
"775","No schooling"
"776","Preschool/ Primary"
"777","No schooling"
"778","No schooling"
"779","Preschool/ Primary"
"780","No schooling"
"781","No schooling"
"782","No schooling"
"783","No schooling"
"784","Preschool/ Primary"
"785","Preschool/ Primary"
"786","No schooling"
"787","Middle"
"788","Preschool/ Primary"
"789","Preschool/ Primary"
"790","No schooling"
"791","No schooling"
"792","No schooling"
"793","No schooling"
"794","No schooling"
"795","Preschool/ Primary"
"796","Preschool/ Primary"
"797","Preschool/ Primary"
"798","No schooling"
"799","No schooling"
"800","Preschool/ Primary"
"801","No schooling"
"802","No schooling"
"803","No schooling"
"804","No schooling"
"805","Preschool/ Primary"
"806","Matric"
"807","No schooling"
"808","No schooling"
"809","No schooling"
"810","No schooling"
"811","No schooling"
"812","No schooling"
"813","No schooling"
"814","No schooling"
"815","No schooling"
"816","No schooling"
"817","No schooling"
"818","No schooling"
"819","No schooling"
"820","No schooling"
"821","Preschool/ Primary"
"822","Preschool/ Primary"
"823","Preschool/ Primary"
"824","No schooling"
"825","Preschool/ Primary"
"826","Matric"
"827","No schooling"
"828","No schooling"
"829","Preschool/ Primary"
"830","No schooling"
"831","Matric"
"832","No schooling"
